Section,BPD (mm),App GA,GE Table GA,delta days (GE),P5.0 median GA,delta days (P5.0)
FORM-4a BPD GA,25,14w 2d,14w 2d,0,14w 0d,2
FORM-4a BPD GA,35,16w 5d,16w 6d,-1,16w 5d,0
FORM-4a BPD GA,44,19w 2d,19w 3d,-1,19w 2d,0
FORM-4a BPD GA,50,21w 1d,21w 1d,0,21w 1d,0
FORM-4a BPD GA,55,22w 5d,22w 6d,-1,22w 5d,0
FORM-4a BPD GA,62,25w 1d,25w 2d,-1,25w 0d,1
FORM-4a BPD GA,70,28w 1d,28w 1d,0,27w 5d,3
FORM-4a BPD GA,75,30w 1d,30w 1d,0,29w 5d,3
FORM-4a BPD GA,80,32w 1d,32w 1d,0,31w 6d,2
FORM-4a BPD GA,85,34w 2d,34w 2d,0,34w 1d,1
FORM-4a BPD GA,89,36w 0d,36w 0d,0,36w 3d,-3
FORM-4a BPD GA,93,37w 6d,37w 6d,0,39w 0d,-8

FORM-4b BPD %,25,14w 2d,19,37,37,-18,-18,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,35,16w 6d,40,45,44.8,-5,-4.8,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,44,19w 3d,42,45,44.9,-3,-2.9,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,50,21w 1d,48,49,48.4,-1,-0.4,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,55,22w 6d,40,42,41.7,-2,-1.7,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,62,25w 2d,35,37,36.8,-2,-1.8,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,70,28w 1d,37,37,37.1,0,-0.1,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,75,30w 1d,37,36,36,1,1,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,80,32w 1d,42,41,40.4,1,1.6,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,85,34w 2d,48,47,47.5,1,0.5,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,89,36w 0d,57,59,58.7,-2,-1.7,App: mean×0.043 | P5.0: fixed 0.30cm
FORM-4b BPD %,93,37w 6d,67,71,71.2,-4,-4.2,App: mean×0.043 | P5.0: fixed 0.30cm

FORM-5a HC GA,100,14w 5d,14w 5d,0,14w 2d,3
FORM-5a HC GA,130,16w 4d,16w 4d,0,16w 3d,1
FORM-5a HC GA,158,18w 5d,18w 4d,1,18w 4d,1
FORM-5a HC GA,175,20w 0d,20w 0d,0,19w 6d,1
FORM-5a HC GA,197,21w 6d,21w 6d,0,21w 5d,1
FORM-5a HC GA,220,24w 0d,24w 0d,0,23w 4d,3
FORM-5a HC GA,252,27w 3d,27w 2d,1,26w 4d,6
FORM-5a HC GA,270,29w 3d,29w 3d,0,28w 3d,7
FORM-5a HC GA,293,32w 2d,32w 2d,0,31w 0d,9
FORM-5a HC GA,310,34w 4d,34w 4d,0,33w 2d,9
FORM-5a HC GA,325,36w 6d,36w 6d,0,35w 3d,10
FORM-5a HC GA,340,39w 1d,39w 1d,0,38w 3d,5

FORM-5b HC %,100,14w 0d,80,62,63.3,18,16.7,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,130,16w 0d,87,73,71.4,14,15.6,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,158,18w 0d,87,76,75.4,11,11.6,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,175,20w 0d,40,42,42.8,-2,-2.8,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,197,22w 0d,30,34,33.5,-4,-3.5,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,220,24w 0d,32,34,33.1,-2,-1.1,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,252,28w 0d,10,8,8,2,2,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,270,30w 0d,11,8,7.5,3,3.5,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,293,32w 0d,26,21,21.5,5,4.5,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,310,34w 0d,34,31,29.3,3,4.7,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,325,36w 0d,41,38,38.5,3,2.5,App: mean×0.041 | P5.0: fixed 1.00cm
FORM-5b HC %,340,38w 0d,55,58,57.2,-3,-2.2,App: mean×0.041 | P5.0: fixed 1.00cm

FORM-6a AC GA,75,out of range,14w 0d,—,14w 1d,—
FORM-6a AC GA,100,16w 0d,16w 0d,0,16w 1d,-1
FORM-6a AC GA,127,18w 2d,18w 2d,0,18w 1d,1
FORM-6a AC GA,148,20w 1d,20w 0d,1,19w 6d,2
FORM-6a AC GA,168,21w 6d,21w 6d,0,21w 4d,2
FORM-6a AC GA,195,24w 1d,24w 1d,0,23w 6d,2
FORM-6a AC GA,222,26w 4d,26w 5d,-1,26w 2d,2
FORM-6a AC GA,242,28w 3d,28w 3d,0,28w 2d,1
FORM-6a AC GA,260,30w 1d,30w 1d,0,30w 0d,1
FORM-6a AC GA,278,31w 6d,31w 5d,1,31w 6d,0
FORM-6a AC GA,295,33w 3d,33w 3d,0,33w 4d,-1
